,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2012-06-01,17.028902053833008,104.1911392211914,20.035356521606445,128.16000366210938,20.451786041259766,131.5,20.018571853637695,128.16000366210938,20.3271427154541,129.41000366210938,520987600,253240900
2012-06-04,17.12907600402832,104.14238739013672,20.153213500976562,128.10000610351562,20.26785659790039,128.74000549316406,19.58928680419922,127.13999938964844,20.053571701049805,128.38999938964844,556995600,202545800
2012-06-05,17.084762573242188,104.93097686767578,20.101070404052734,129.07000732421875,20.23107147216797,129.25999450683594,19.940357208251953,127.77999877929688,20.04535675048828,127.8499984741211,388214400,164149400
2012-06-06,17.34671974182129,107.28858184814453,20.409286499023438,131.97000122070312,20.49464225769043,132.02999877929688,20.196428298950195,129.92999267578125,20.27750015258789,129.97000122070312,401455600,184202800
2012-06-07,17.354610443115234,107.3536148071289,20.41857147216797,132.0500030517578,20.61857032775879,133.52999877929688,20.375,131.77999877929688,20.61750030517578,133.47000122070312,379766800,184772700
2012-06-08,17.615665435791016,108.20728302001953,20.7257137298584,133.10000610351562,20.735000610351562,133.1300048828125,20.321428298950195,131.2899932861328,20.41428565979004,131.7100067138672,347516400,143915400
2012-06-11,17.33791732788086,106.83332824707031,20.398929595947266,131.41000366210938,21.01785659790039,134.25,20.379642486572266,131.27999877929688,20.989999771118164,134.1699981689453,591264800,169756100
2012-06-12,17.489389419555664,108.0609359741211,20.5771427154541,132.9199981689453,20.593570709228516,133.00999450683594,20.239286422729492,131.16000366210938,20.516429901123047,131.7899932861328,435380400,181931800
2012-06-13,17.367971420288086,107.36991882324219,20.43428611755371,132.07000732421875,20.65999984741211,133.36000061035156,20.37071418762207,131.6199951171875,20.518571853637695,132.52999877929688,293580000,172223900
2012-06-14,17.348844528198242,108.5080795288086,20.411785125732422,133.47000122070312,20.48214340209961,134.0,20.259286880493164,131.97999572753906,20.40142822265625,132.33999633789062,345573200,230615500
2012-06-15,17.42776870727539,109.61782836914062,20.504642486572266,134.13999938964844,20.52214241027832,134.25999450683594,20.3410701751709,133.10000610351562,20.39285659790039,133.3800048828125,335255200,169444500
2012-06-18,17.781402587890625,109.83028411865234,20.920713424682617,134.39999389648438,20.996070861816406,134.72999572753906,20.370357513427734,133.27999877929688,20.391429901123047,133.5800018310547,440412000,131360900
2012-06-19,17.830890655517578,110.89260864257812,20.97892951965332,135.6999969482422,21.071428298950195,136.25,20.825000762939453,134.3699951171875,20.83571434020996,135.0800018310547,361404400,137382600
2012-06-20,17.780197143554688,110.71285247802734,20.919286727905273,135.47999572753906,21.04464340209961,136.10000610351562,20.742856979370117,134.27000427246094,21.00749969482422,135.7100067138672,358943200,206451800
